Text,Label
"   پنجاب چه تر څو د افغانستان د طالبانو په رهبری که تغیر رانه ولي ،هیڅ وخت به د راحت خوب ونکړي،دافغانستان د طالبانو رهبری که د ځوان نسل په لاس کې وي دا مشکل زر حل کیژی،ملاهیبت په زغرده وویل چه د پنجاب قانون کفری دي ،",2
   دا تاسو ولې د پاکستان د پالیسۍ په خوښه خبرونه ليکۍ دا بريد په عادي جومات نه دی شوی دا بريد د پاکستاني پوليسو په امنيه قوماندانۍ شوی دی د قوماندانۍ دننه جومات ته هم يو څه زيان وراوښتي دی,2
"که څه هم لومړي سر کې د برید مسؤلیت د پاکستاني طالبانو غورځنګ یوه مشر ومانه، خو وروسته د ټي‌ټي‌پي ویاند په یوه ویناپاڼه کې وویل، دوی پر جوماتونو، مدرسو، عیدګاوو او نورو سپېڅلو ځایونو بریدونه نه کوي.

              .                          ",2
   داسړی ماته په خټه خوستی ښکاري,0
"سکنونو دا شونتیا رامنځ ته کړه چې ومومي دا مومیا د هغه وخت د ټولنې د شتمنو او تندرستو کورنیو له غړو و، ځکه چې غاښونه او هډوکي یې سالم وو او د خوارځواکۍ یا ناروغۍ کومه نښه پرې نه ده لیدل شوې.

              .                          ",1
"د امریکا کلیفورنیا ایالت سن مټیو سیمې څارنوال ویلي، د هف مون بې بریدګر د ۱۰۰ ډالرو د ترمیم بېل غوسه کړی او له خپل هغه ملګري سره یې پرې لانجه شوې چې یوه کرونده کې یې کار کاوه او اته کسان یې وژلي دي.               .                          ",2
   همدا حال چې فلسطین کې جاري وی زرکاله به هم فتح حاصله نکړي,2
"   سپی چې وږی شي نه خپل پیژني نه پردی.

دې خلکو ته اسلامي ارزښتونه،مقدسادت هیڅ دي 
همدغه خوارج چې دا برید یې کړی په همدې باجوړ کې رسمي غونډې لري دوﺉ یې امنیت ساتي.
هر چیرته ملکیان قربانیان وي.

نن ورځ ډیزل    ",2
"د ملګرو ملتونو د سرمنشي انتونیو ګوتېرېش یوه ویاند سټیفن دوچارېک تېره ورځ په یوه خبري کنفرانس کې وویل، ښاغلی ګوتېرېش د پې‍ښور په یوه جومات کې ځانمرګی برید په کلکه غندي.

دی وايي په ځانګړې توګه دا برید چې په یوه عبادتځي شوی، ناوړه عمل دی.
              .                          ",1
   دوي غول خوري چي دبل ملک کي لاسونه کوي,2
   سم لاسونه پر ټکوی. خود بی یی هره ورځ اسراییلي سپیان داړی.,2
"ښاغلي بایډن په وار وار د جیټ الوتکو لپاره د اوکرایین غوښتنې رد کړې دي او پر ځای یې په نورو برخو کې پر پوځي ملاتړ چمتو کولو خپل تمرکز ډېر کړی.
              .                          ",2
   هم يي خپله ووژل هم خپله پری ژاړي د بي ناموسه بچی,2
"               (چټ جي ‌پي‌ ټي) د مصنوعي ځیرکتیا د لټون هغه نوی سیستم دی چې ستاسې هر ډول پوښتنې ځوابوي. دا دومره پیاوړی دی چې په څو ثانیو کې تاسې ته له ۱۷۵ میلیارد پارامټرو (د مشخصو معلوماتو اندازه) څخه چې پکې ثبت شوي، ستاسې ځواب درکوي.               .                          ",1
   ماشاالله ډير ښه خوندروير دی,1
   په عياشيو چه اخته شي سل کاله به نور هم د اسراییلو غلامي کوي.,2
   هیڅ ګټه نه کوي,2
"د سمندر پر غاړه او ګراج کې د نجونو له روزلو وروسته، اسامه ایوب اوس د سوکوهنې په خپل مسلکي کلب کې ۴۰ نجونې روزي. دا په غزه کې د خپل ډول لومړنی کلب دی، چې ښځو او نجونو ته د سوکوهنې تمرینونه ورښيي.               .                          ",0
"فرح چې په دې کلب کې تمرین کوي وايي: ""زه خوشحاله یم؛ ځکه چې دا ځای پراخ دی او په مسلکي کړۍ کې د ننه لا ښه تمرین کولی ش                     ",1
   لکہ سی یوکراین جنگ یی احسان ور خرآب کړی دی,2
   چه کري هغه به ريبی خو بد بختي دلته ده چه بيا هم دپشتون وينه تو شوه,2
   ترهګـ ــر خو ورتي ستاسو فوج دی نو,2
"ښاغلي جانسن ویلي، مخکې له دې چې روسیه پر اوکرایین برید وکړي، دی یې په شخصي ډول په تلیفوني اړیکه کې ګواښلی او ورته یې ویلي دي ""دا کار یوازې یوه دقیقه وخت نیسي.""

              .                          ",2
   نه به مو روزل  حيف زما د خاوری برخه پيښور چی لکه زما کابل ستا د جنايتونو قربانی دی,2
"د قاهرې پوهنتون ډاکټر سحار سلیم وايي:  ""په خوله کې طلايي ژبه د دې ډاډمنتیا لپاره وه چې مړ شوی له مرګ وروسته ژوند کې خبرې وکړي"".
              .                          ",0
د امریکا بهرنیو چارو وزارت په خبرپاڼه کې راغلي د طالبانو وروستیو فرمانونو نړیواله ټولنه له غیر عادي ننګونو سره مخ کړې په داسې حال کې چې موږ د افغانانو د ملاتړ او ګټو په لټه کې یو,2
"په پېښور کې د پولیسو مرکز اړوند یوه جومات کې د چاودنې له کبله د وژل شویو کسانو شمېر ۵۹ ته لوړ شوی او لا هم د ودانۍ لاندې ایسارو خلکو ایستلو عملیات روان دي.
د پېښې ډېری قربانیان نږدې د پېښور لېډي رېډېنګ روغتون ته وړل شوې.               .                          ",2
شهباز شریف: همدا اوس له پېښوره راستون شوم. دا انساني غمیزه د تصور وړ نه ده.‌ دا پر پاکستان تر برید کم نه دی. ملت په غم او ژور ویر کې ډوب دی. شک نه لرم چې ترهګر زموږ د ملي امنیت تر ټولو لوی ګواښ دی   ,2
   پاکستان د خپل دال وخوري چي تري يخ کيګي تول پدي سيند کي لمبو وهلي اوس موګکانو نوبت دي,2
   هاهاهااهاهاها,0
   تر څو چی جنگ په افغانستان  سوریه عراق یمن سومالیا او همداسی نورو ځایونو کښې روان وو هیچ چا دا ستن وه نه خوځوله خو چی کله دا جنگ د اروپا سرحداتو ته راورسید نو ډز یی واوریده او‌ دا ستن یی وه خوځوله ا‌و‌بشریت ته یی گواښونه محسوس کړل چی دا ډیره بی معنی خبره ده!عیسویان پوه شه او جنگ ی,0
"د روسیې او پاکستان د بهرنیو چارو وزیرانو په مسکو کې په ګډه خبري غونډه کې طالبانو ته وریاد کړل چې د ټولګډونه حکومت جوړولو په ګډون له نړیوالې ټولنې او خپلو خلکو سره په کړو ژمنو ودرېږي.

              .                          ",1
"د وحشي ځناورو امريکايانو  بشرپالنه موږ پوره شل کاله افغانستان کې ولیده   

                       ",2
   کسان یی ټول پاکستاني پولیس دی,0
"د عراق کرکوک کې د احمد مجدي وېډیو چې ځان کیمیسټ بولي، یوځل بیا د (ازلي اور) [بې پایه] په اړه بحثونه راپارولي.

دی وايي: ""د عراق کرکوک کې دا ازلي اور له ۴۰۰۰ کلونو راهیسې بل دی"".‌

د نوموړي دا وېډیو میلیونونه ځله کتل شوې ده.
              .                          ",0
"پېښور کې پر جومات د چاودنې مرګ ژوبله لوړه شوې؛ ۴۷ تنه پکې وژل شوي او تر ۱۵۰ نور ټپیان دي. لومړی وزیر شهباز شریف په بیړني سفر پېښور ته تللی.
      
                                                                                                .                          ",2
"د کندهار د امر بالمعروف ادارې په یوه شفاهي امر کې د دغه ولایت ټولو ښځینه روغتیايي کارکوونکو ته خبر داری ور کړی چې له محرم پرته دي کارځایونو ته له تګ راتګه ډډه وکړي. 

              .                          ",2
"په پېښور کې د پولیسو مرکز اړوند یوه جومات کې د چاودنې له کبله د وژل شویو کسانو شمېر ۴۷ ته لوړ شوی او لا هم د ودانۍ لاندې ایسارو خلکو ویستلو عملیات روان دي.
              .                          ",0
"   بوریس لکه چې هغه وخت انټن نه ورکاوه؟
دوئ بیغرتان یواځي کمزورو افغانانو ته تکړه ؤ پوتین ته خویی سپوڼ هم ونشو کولائ",2
   دا يي لا شروع ده انتظار کوي,2
"بورېس جانسن دغه ادعا د بي بي سي له خوا جوړ شوي هغه مستند فلم کې کړې، چې د نړۍ له مشرانو سره د پوتین پر اړیکو راڅرخي.
              .                          ",0
   دا خو ښه خبره ده,1
   د امارت څخه په کندهار ولایت کی ولس تر پوزې ځنې راغلی دی,2
   ولی کابل ته‌ نه راځی,2
   څه کشاله پاته ده,2
"د امریکا بهرنیو چارو وزارت وایې د افغانستان لپاره د دغه هېواد ځانګړی استازی پاکستان، جرمني او سوېزرلنډ ته ځي                       ",0
امریکا ویلي د طالبانو وروستیو فرمانونو نړیواله ټولنه له غیر عادي ننګونو سره مخ کړې,2
   لعنت الله علی الکذبين,1
   الحمد الله ډيره ښه  پريکړه,1
"ميخانه کې چرته سر د چا مات نشو 
خـو په وينو د جومات دروازه سره ده
  پیښوريو شئ پختنوں
                       ",1
" 
خو ټرمپ خبر نه و چې دا معدنونه او افغانستان مالکان هم لري هغه و چې ددې معدنونو او افغانستان مالکانو امريکا تېښتې ته مجبوره کړه چې د افغانستان د معدنونو د لوټلو لپاره راوړې وسلې ترې په تېښته کې افغانانو ته پاتې شوې؛ کومو پسې چې ټرمپ اوس ژاړي او تل پاتې شرم سره مخ شول",2
